Feature,PortSiz,NormPress,ConSize,PressNum,X,Y
Water Hydrant,6,80,,550-093A,505357.7958,5451853.7183
Water Hydrant,,86,,550-099A,505771.4783,5451992.1835
Water Hydrant,,86,,550-095A,505573.2782,5451829.0688
Water Hydrant,,64,,650-007A,506957.526,5453064.0015
Water Hydrant,,84,,504W-038A,505875.9963,5450360.7117
Water Hydrant,,76,,504W-051A,505280.5315,5450655.9843
Water Hydrant,,86,,425+-027A,503612.5468,5449631.6288
Water Hydrant,,110,,350E-047A,505090.7719,5450101.2823
Water Hydrant,4,116,,350E-011B,506929.5131,5450088.7829
Water Hydrant,,116,,350E-011A,506791.3691,5449971.7469
Water Hydrant,6,110,6,350W-045A,504943.392,5448822.9599
Water Hydrant,,64,,504W-020A,506747.8359,5450618.4503
Water Hydrant,6,92,6,410-023,508170.8967,5452999.8803
Water Hydrant,6,80,6,550-144,506405.6046,5450821.9357
Water Hydrant,6,94,6,550-098,505639.7089,5451997.3009
Water Hydrant,6,96,6,504E-048,507389.6751,5452547.7693
Water Hydrant,6,120,6,504E-047,507561.404,5452544.6228
Water Hydrant,6,74,6,410-012,507784.9372,5452540.806
Water Hydrant,6,96,6,410-026,508191.0314,5453334.2237
Water Hydrant,6,,6,350W-087,505437.4883,5448832.2452
Water Hydrant,6,,6,350W-088,505456.3975,5448875.5064
Water Hydrant,6,,6,350W-086,505383.6826,5448804.0056
Water Hydrant,6,,6,350W-085,505310.485,5448918.8646
Water Hydrant,6,,6,350W-084,505250.5092,5449012.9775
Water Hydrant,6,,6,350W-090,505333.0762,5449069.0512
Water Hydrant,6,,6,350W-089,505390.5112,5448978.8926
Water Hydrant,6,72,6,504W-058A,505324.7062,5450230.6029
Water Hydrant,6,124,6,504W-056A,505274.0328,5450287.7507
Water Hydrant,6,116,6,504W-057,505198.775,5450378.7876
Water Hydrant,6,58,6,550-182,506346.8116,5452460.9274
Water Hydrant,6,,6,410-027A,508094.8576,5453193.3519
Water Hydrant,6,88,6,550-149,506564.8658,5450847.8372
Water Hydrant,6,108,6,350W-022A,504412.3835,5448323.2652
Water Hydrant,6,108,6,350W-037A,504783.8843,5448306.7323
Water Hydrant,6,110,6,350W-036A,504687.5074,5448464.6976
Water Hydrant,6,56,6,550-081A,505969.4697,5450934.8186
Water Hydrant,6,62,6,550-082A,505876.6452,5450858.3592
Water Hydrant,6,90,6,550-047A,504742.9356,5450927.0058
Water Hydrant,6,110,6,350W-029A,504437.4668,5448673.887
Water Hydrant,6,138,6,425+-014A,504914.0032,5450167.8428
Water Hydrant,6,70,6,504W-027A,506304.0566,5450530.3489
Water Hydrant,,,,350W-018A,504229.9565,5448517.1948
Water Hydrant,,,,350W-041A,504355.1374,5447805.0391
Water Hydrant,,,,410-052A,508846.7955,5452991.7432
Water Hydrant,,,,410-000A,508938.3445,5452854.5853
Water Hydrant,,,,410-007A,507800.7457,5452860.9973
Water Hydrant,,,,410-12A,507637.0245,5452543.3752
Water Hydrant,,,,504W-080,507396.3259,5451203.2154
Water Hydrant,,,,504W-085,507251.6402,5451500.7162
Water Hydrant,,,,504W-084,507296.9931,5451416.5152
Water Hydrant,,,,504W-083,507378.4953,5451361.108
Water Hydrant,,,,504W-082,507455.2927,5451310.6563
Water Hydrant,,,,504W-081,507480.7062,5451285.897
Water Hydrant,,,,504W-086,507177.1128,5451443.1483
Water Hydrant,,,,504W-087,507217.3964,5451351.2026
Water Hydrant,,,,504W-088,507298.8788,5451259.7017
Water Hydrant,6,,6,504W-079,507396.239,5451108.6937
Water Hydrant,,,,504W-091,507395.384,5451003.7936
Water Hydrant,,,,504W-090,507472.9464,5451058.3179
Water Hydrant,,,,504W-089,507493.6831,5451125.3148
Water Hydrant,,,,504W-042A,505616.826,5450852.9868
Water Hydrant,6,90,,550-020A,503574.6318,5450212.6028
Water Hydrant,6,102,6,550-017A,503633.3235,5450141.2931
Water Hydrant,6,,6,350E-028A,506133.251,5450012.9703
Water Hydrant,6,,6,350E-040C,506217.9165,5449952.7536
Water Hydrant,6,,6,350E-040B,506186.201,5449906.5174
Water Hydrant,6,100,6,350E-040A,506139.8126,5449888.4524
Water Hydrant,,,,350W-001A,503195.0316,5447498.1138
Water Hydrant,,,,350W-005A,503326.9615,5447615.0282
Water Hydrant,,,,350W-006A,503396.9536,5447860.481
Water Hydrant,6,84,6,550-149A,506626.7268,5450862.8355
Water Hydrant,6,90,6,550-129A,506199.1927,5451876.8418
Water Hydrant,6,100,6,550-117,506312.2637,5451938.5254
Water Hydrant,6,90,6,550-018A,503518.5783,5450282.3884
Water Hydrant,6,72,6,504W-034,505812.6985,5450622.9867
Water Hydrant,6,156,6,504E-057,507696.5895,5453903.6353
Water Hydrant,6,86,6,504E-024A,506763.8354,5451939.4244
Water Hydrant,6,92,6,410-013A,507752.1054,5452222.3471
Water Hydrant,6,110,6,350W-030,504283.5692,5448919.7592
Water Hydrant,6,116,6,350E-055,506248.0543,5449676.3206
Water Hydrant,6,116,6,350E-051B,506532.8175,5449774.5284
Water Hydrant,6,118,6,410-066,507856.4229,5451966.9146
Water Hydrant,6,118,6,410-068,507821.5274,5451810.8229
Water Hydrant,6,118,6,410-067,507841.1987,5451898.815
Water Hydrant,6,70,6,350E-031A,506510.2742,5450178.8169
Water Hydrant,4,110,,350W-101,505552.6693,5449253.6543
Water Hydrant,,72,,410-009A,507723.3127,5452961.165
Water Hydrant,4,64,,504W-034A,505725.3754,5450720.6999
Water Hydrant,,115,,350E-092,505370.795,5450239.2817
Water Hydrant,,80,,350E-091,505433.7581,5450162.8941
Water Hydrant,6,115,6,350E-024A,506240.4804,5449722.4767
Water Hydrant,,96,,350E-090,505501.2558,5450084.9358
Water Hydrant,,130,,425+028,503304.6731,5449387.2569
Water Hydrant,6,114,6,350E-024,506342.96,5449753.1776
Water Hydrant,,110,,350W-023A,504510.4586,5448361.5093
Water Hydrant,,110,,350W-033A,504666.6272,5448667.9172
Water Hydrant,,110,,350W-033B,504760.8788,5448513.6826
Water Hydrant,,78,,504W-005A,507448.3948,5450898.8664
Water Hydrant,6,,6,550-137A,506023.5797,5451061.4635
Water Hydrant,6,,6,550-137B,506149.5908,5450908.5847
Water Hydrant,6,,6,504W-024A,506206.8178,5450228.3817
Water Hydrant,6,110,6,350W-054,505120.1539,5448956.5129
Water Hydrant,6,84,6,550-096A,505604.3611,5452064.9491
Water Hydrant,6,110,6,350W-079,503495.1936,5447844.1573
Water Hydrant,6,110,6,350W-076,503536.4082,5447653.6428
Water Hydrant,6,110,6,350W-078,503592.4228,5447827.2548
